Tank,sex,BL
0,C1,F,11359.898
1,C1,F,12984.059
2,C1,F,12760.99
3,C1,M,11458.142
4,C1,F,10709.485
5,C1,M,10463.196
6,C1,F,12149.821
7,C1,F,12897.841
8,C1,F,10517.575
9,C1,M,11362.055
10,C2,F,12207.646
11,C2,F,11684.767
12,C2,M,11451.954
13,C2,F,10987.368
14,C2,F,12170.341
15,C2,F,11905.338
16,C2,F,10033.35
17,C2,F,11547.325
18,C2,M,10734.923
19,C2,F,12182.566
20,C3,F,10599.457
21,C3,F,12464.947
22,C3,F,12222.03
23,C3,M,11200.118
24,C3,F,10913.263
25,C3,F,12465.31
26,C3,M,9837.955
27,C3,M,10347.825
28,C3,M,11566.586
29,C3,M,11359.825
30,C4,M,11273.861
31,C4,M,10816.066
32,C4,F,12269.046
33,C4,M,9531.17
34,C4,M,10881.709
35,C4,F,12379.257
36,C4,F,10302.954
37,C4,F,11751.205
38,C4,F,12900.01
39,C4,F,11693.567
40,C5,M,11214.012
41,C5,F,11170.974
42,C5,F,12109.405
43,C5,F,10770.213
44,C5,F,11215.256
45,C5,F,11608.418
46,C5,M,10800.641
47,C5,M,10937.345
48,C5,F,11764.948
49,C5,F,12195.793
50,C6,M,10110.01
51,C6,F,11869.275
52,C6,F,11910.145
53,C6,M,10771.368
54,C6,M,9314.4
55,C6,M,11167.733
56,C6,M,10379.556
57,C6,M,10489.806
58,C6,F,12154.171
59,C6,F,12273.422
