Group,BL,aSB_Height,aSB_Width
0,w6,10372.816167903738,819.203160714611,679.6685564170671
1,w6,9502.690308344487,733.6819516290195,666.165207614079
2,w6,9319.505916858327,697.6730214877182,661.6640913464165
3,w5,9708.772748766414,715.677486558369,643.6596262757656
4,w5,8861.544938142932,634.6573937404403,549.136184654849
5,w5,9250.811770051021,680.2155365494474,634.6573937404403
6,adult,11105.553733848375,972.2411138151425,828.2053932499362
7,adult,9846.161042381034,955.7994981809952,859.7132071235751
8,adult,10647.592755132979,835.2539953080493,711.176370290706
9,w8,10739.184950876057,868.7154396589007,769.6908817703212
10,w8,10258.325923224891,858.2284486477095,805.6998119116226
11,w8,10601.796657261439,812.9828757260032,720.1786028260316
